Content ID,Reaction Type,Datetime,Content Type,Category,Sentiment,Score,Month,Months
97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,07-11-2020 09:43,photo,studying,negative,0,11,November
97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,17-06-2021 12:22,photo,studying,negative,10,6,June
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,18-04-2021 05:13,photo,studying,negative,15,4,April
97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,06-01-2021 19:13,photo,studying,negative,0,1,January
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,23-08-2020 12:25,photo,studying,positive,30,8,August
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,07-12-2020 06:27,photo,studying,neutral,35,12,December
97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,11-04-2021 17:35,photo,studying,positive,70,4,April
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,27-01-2021 08:32,photo,studying,negative,5,1,January
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,01-04-2021 22:54,photo,studying,neutral,35,4,April
97522e57-d9ab-4bd6-97bf-c24d952602d2,love,04-08-2020 05:05,photo,studying,positive,65,8,August
97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,07-11-2020 08:36,photo,studying,neutral,20,11,November
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,02-11-2020 06:28,photo,studying,negative,15,11,November
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,01-11-2020 01:16,photo,studying,positive,30,11,November
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,07-10-2020 18:39,photo,studying,negative,5,10,October
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,03-09-2020 18:51,photo,studying,negative,15,9,September
97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,24-02-2021 05:09,photo,studying,positive,75,2,February
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,23-09-2020 06:24,photo,studying,neutral,35,9,September
97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,24-02-2021 11:37,photo,studying,neutral,20,2,February
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,22-05-2021 19:44,photo,studying,positive,30,5,May
97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,31-01-2021 16:03,photo,studying,positive,45,1,January
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,20-11-2020 17:26,photo,studying,neutral,35,11,November
97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,11-04-2021 20:47,photo,studying,negative,12,4,April
97522e57-d9ab-4bd6-97bf-c24d952602d2,like,13-06-2021 16:46,photo,studying,positive,50,6,June
97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,11-04-2021 14:29,photo,studying,positive,60,4,April
97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,02-03-2021 19:21,photo,studying,negative,12,3,March
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,27-06-2020 18:44,photo,studying,negative,5,6,June
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,09-05-2021 21:05,photo,studying,negative,5,5,May
97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,04-08-2020 23:58,photo,studying,positive,70,8,August
97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,28-08-2020 03:57,photo,studying,positive,75,8,August
97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,25-08-2020 08:21,photo,studying,positive,45,8,August
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,20-04-2021 23:48,photo,studying,negative,15,4,April
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,07-03-2021 12:40,photo,studying,positive,30,3,March
97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,24-05-2021 03:21,photo,studying,neutral,20,5,May
97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,24-01-2021 11:03,photo,studying,positive,75,1,January
97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,09-04-2021 02:46,photo,studying,negative,0,4,April
97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,02-02-2021 03:43,photo,studying,positive,75,2,February
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,04-02-2021 03:06,photo,studying,positive,30,2,February
97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,09-11-2020 02:49,photo,studying,negative,10,11,November
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,29-09-2020 16:00,photo,studying,negative,15,9,September
97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,29-11-2020 21:33,photo,studying,negative,10,11,November
97522e57-d9ab-4bd6-97bf-c24d952602d2,want,13-02-2021 07:54,photo,studying,positive,70,2,February
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,14-07-2020 05:28,photo,studying,positive,30,7,July
97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,23-08-2020 10:30,photo,studying,neutral,20,8,August
97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,10-05-2021 09:27,photo,studying,negative,12,5,May
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,15-03-2021 03:59,photo,studying,negative,5,3,March
9f737e0a-3cdd-4d29-9d24-753f4e3be810,dislike,25-06-2020 17:01,photo,healthy eating,negative,10,6,June
9f737e0a-3cdd-4d29-9d24-753f4e3be810,intrigued,13-09-2020 00:11,photo,healthy eating,positive,45,9,September
9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,20-08-2020 18:17,photo,healthy eating,neutral,35,8,August
9f737e0a-3cdd-4d29-9d24-753f4e3be810,scared,11-02-2021 04:53,photo,healthy eating,negative,15,2,February
9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,08-03-2021 10:40,photo,healthy eating,negative,5,3,March
9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,28-03-2021 21:15,photo,healthy eating,negative,0,3,March
9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,25-05-2021 01:00,photo,healthy eating,negative,5,5,May
9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,15-03-2021 12:17,photo,healthy eating,positive,50,3,March
9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,05-05-2021 16:26,photo,healthy eating,positive,65,5,May
9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,31-08-2020 00:21,photo,healthy eating,positive,65,8,August
9f737e0a-3cdd-4d29-9d24-753f4e3be810,heart,16-06-2021 03:02,photo,healthy eating,positive,60,6,June
9f737e0a-3cdd-4d29-9d24-753f4e3be810,indifferent,07-07-2020 10:52,photo,healthy eating,neutral,20,7,July
9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,20-08-2020 07:59,photo,healthy eating,neutral,35,8,August
9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,23-09-2020 11:15,photo,healthy eating,positive,65,9,September
9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,24-03-2021 05:56,photo,healthy eating,positive,50,3,March
230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,07-12-2020 19:13,photo,healthy eating,negative,5,12,December
230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,03-08-2020 16:41,photo,healthy eating,positive,75,8,August
230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,10-01-2021 15:36,photo,healthy eating,positive,72,1,January
230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,20-09-2020 08:48,photo,healthy eating,negative,15,9,September
230c4e4d-70c3-461d-b42c-ec09396efb3f,cherish,20-07-2020 14:06,photo,healthy eating,positive,70,7,July
230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,24-10-2020 12:15,photo,healthy eating,positive,72,10,October
230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,06-06-2021 01:27,photo,healthy eating,positive,30,6,June
230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,25-12-2020 00:09,photo,healthy eating,positive,60,12,December
230c4e4d-70c3-461d-b42c-ec09396efb3f,like,14-06-2021 07:56,photo,healthy eating,positive,50,6,June
230c4e4d-70c3-461d-b42c-ec09396efb3f,like,05-06-2021 18:00,photo,healthy eating,positive,50,6,June
230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,18-11-2020 23:37,photo,healthy eating,negative,5,11,November
230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,09-05-2021 02:42,photo,healthy eating,positive,30,5,May
230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,11-05-2021 08:38,photo,healthy eating,negative,10,5,May
230c4e4d-70c3-461d-b42c-ec09396efb3f,peeking,12-11-2020 08:00,photo,healthy eating,neutral,35,11,November
230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,21-06-2020 16:57,photo,healthy eating,positive,60,6,June
230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,04-03-2021 23:58,photo,healthy eating,positive,75,3,March
230c4e4d-70c3-461d-b42c-ec09396efb3f,want,09-07-2020 16:47,photo,healthy eating,positive,70,7,July
230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,01-08-2020 19:16,photo,healthy eating,negative,5,8,August
230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,23-11-2020 22:46,photo,healthy eating,negative,10,11,November
230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,11-12-2020 14:08,photo,healthy eating,negative,15,12,December
230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,23-04-2021 23:41,photo,healthy eating,negative,10,4,April
230c4e4d-70c3-461d-b42c-ec09396efb3f,want,13-11-2020 00:33,photo,healthy eating,positive,70,11,November
230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,09-06-2021 10:13,photo,healthy eating,positive,30,6,June
230c4e4d-70c3-461d-b42c-ec09396efb3f,love,29-10-2020 19:41,photo,healthy eating,positive,65,10,October
230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,14-05-2021 12:47,photo,healthy eating,positive,60,5,May
230c4e4d-70c3-461d-b42c-ec09396efb3f,disgust,04-08-2020 05:40,photo,healthy eating,negative,0,8,August
230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,07-08-2020 04:09,photo,healthy eating,positive,72,8,August
230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,23-10-2020 21:19,photo,healthy eating,positive,72,10,October
230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,14-11-2020 23:53,photo,healthy eating,positive,72,11,November
230c4e4d-70c3-461d-b42c-ec09396efb3f,worried,04-08-2020 19:26,photo,healthy eating,negative,12,8,August
230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,12-11-2020 04:54,photo,healthy eating,positive,30,11,November
356fff80-da4d-4785-9f43-bc1261031dc6,worried,03-04-2021 12:17,photo,technology,negative,12,4,April
356fff80-da4d-4785-9f43-bc1261031dc6,want,27-09-2020 22:15,photo,technology,positive,70,9,September
356fff80-da4d-4785-9f43-bc1261031dc6,heart,27-10-2020 05:45,photo,technology,positive,60,10,October
356fff80-da4d-4785-9f43-bc1261031dc6,scared,15-10-2020 09:11,photo,technology,negative,15,10,October
356fff80-da4d-4785-9f43-bc1261031dc6,heart,07-05-2021 09:16,photo,technology,positive,60,5,May
356fff80-da4d-4785-9f43-bc1261031dc6,hate,16-09-2020 08:39,photo,technology,negative,5,9,September
356fff80-da4d-4785-9f43-bc1261031dc6,indifferent,29-10-2020 15:38,photo,technology,neutral,20,10,October
01ab84dd-6364-4236-abbb-3f237db77180,scared,24-05-2021 18:03,video,food,negative,15,5,May
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,25-02-2021 20:02,GIF,cooking,positive,30,2,February
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,hate,02-05-2021 03:45,GIF,cooking,negative,5,5,May
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,want,28-01-2021 08:49,GIF,cooking,positive,70,1,January
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,15-02-2021 13:06,GIF,cooking,neutral,35,2,February
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,04-11-2020 21:25,GIF,cooking,negative,10,11,November
cf1e8c1a-23eb-4426-9f58-002fb1b53e91,love,23-06-2020 22:12,GIF,cooking,positive,65,6,June
